,T2M,RH2M,PS,ARI,CAI,CIRE,DWSI,EVI,GCVI,MCARI,SIPI,pH,Temperature (Centigrate),EC (microsiemens per cm),N (mg/Kg),P  (mg/Kg),K  (mg/Kg)
148,24.47,71.88,98.31,1.394958333,0.802833333,0.3736375,0.950558333,0.248045833,0.7845625,-0.0303,1.341575,77,23.2,922,293,20,29
149,22.79,75.56,98.35,1.39225,0.803,0.371975,0.95005,0.247325,0.781625,-0.0304,1.34235,78,23.2,922,283.8,20,28
150,21.96,78.94,98.38,1.389541667,0.803166667,0.3703125,0.949541667,0.246604167,0.7786875,-0.0305,1.343125,79,23.2,927,270.2745098,19,27
151,21.23,82.31,98.4,1.386833333,0.803333333,0.36865,0.949033333,0.245883333,0.77575,-0.0306,1.3439,79,23.2,927,260.2307692,18,26
152,20.61,85.25,98.42,1.384125,0.8035,0.3669875,0.948525,0.2451625,0.7728125,-0.0307,1.344675,80,23.2,936,253.119403,17.98507463,25
153,20.1,87.25,98.42,1.381416667,0.803666667,0.365325,0.948016667,0.244441667,0.769875,-0.0308,1.34545,80,23.2,941,252.6969697,17,24.92424242
154,18.29,94.12,98.37,1.378791667,0.80525,0.35875,0.944833333,0.241,0.761458333,-0.031625,1.3545,78,23.2,958,234.8965517,16,23
155,18.24,94.5,98.39,1.37935,0.8055,0.3581,0.9444,0.2406,0.76095,-0.03175,1.356,78,23.2,958,229.8135593,16,22.94915254
156,22.51,80.06,98.48,1.380466667,0.806,0.3568,0.943533333,0.2398,0.759933333,-0.032,1.359,79,23.2,966,225,16,22
157,26.15,63.25,98.51,1.381025,0.80625,0.35615,0.9431,0.2394,0.759425,-0.032125,1.3605,79,23.2,969.755102,237.9387755,16,23
158,28.05,54.5,98.52,1.381583333,0.8065,0.3555,0.942666667,0.239,0.758916667,-0.03225,1.362,79,23.2,974,254.7313433,18,25
159,19.24,87.88,98.2,1.391633333,0.811,0.3438,0.934866667,0.2318,0.749766667,-0.0345,1.389,79,23.2,983,213,15,21
160,18.57,91.31,98.23,1.392191667,0.81125,0.34315,0.934433333,0.2314,0.749258333,-0.034625,1.3905,79,23.2,983,212.475,14.925,20.925
161,18.33,92.5,98.27,1.39275,0.8115,0.3425,0.934,0.231,0.74875,-0.03475,1.392,79,23.2,983,204,14,20
162,20.25,86,98.33,1.393308333,0.81175,0.34185,0.933566667,0.2306,0.748241667,-0.034875,1.3935,79,23.2,984.8394161,203.1970803,14,20
163,22.3,77.81,98.37,1.393866667,0.812,0.3412,0.933133333,0.2302,0.747733333,-0.035,1.395,79,23.2,988.3854749,205.2290503,14.34636872,20.34636872
164,26.39,56.81,98.39,1.394425,0.81225,0.34055,0.9327,0.2298,0.747225,-0.035125,1.3965,79.4140625,23.2,992.71875,218.9296875,15.4140625,21.7578125
165,28.83,46.88,98.38,1.394983333,0.8125,0.3399,0.932266667,0.2294,0.746716667,-0.03525,1.398,80,23.2,996,237.0714286,16.4047619,23.4047619
166,29.85,43.94,98.34,1.395541667,0.81275,0.33925,0.931833333,0.229,0.746208333,-0.035375,1.3995,80,23.2,996,247.2261905,17.0952381,24.19047619
167,30.53,42.06,98.28,1.3961,0.813,0.3386,0.9314,0.2286,0.7457,-0.0355,1.401,80,23.2,996,270.8644068,19,26.86440678
168,30.82,40.81,98.21,1.396658333,0.81325,0.33795,0.930966667,0.2282,0.745191667,-0.035625,1.4025,80,23.2,996,271.6231884,19,27
169,30.85,39.69,98.16,1.397216667,0.8135,0.3373,0.930533333,0.2278,0.744683333,-0.03575,1.404,80,23.2,996,272.2846715,19,27
170,30.42,41.5,98.14,1.397775,0.81375,0.33665,0.9301,0.2274,0.744175,-0.035875,1.4055,79.53571429,23.2,996,270.6,19,26.53571429
171,29.04,46.5,98.15,1.398333333,0.814,0.336,0.929666667,0.227,0.743666667,-0.036,1.407,78.64912281,23.2,996,264.1403509,18.64912281,25.64912281
